	MHCI	MHCII	Coactivation_molecules	Effector_cells	T_cell_traffic	NK_cells	T_cells	B_cells	M1_signatures	Th1_signature	Antitumor_cytokines	Checkpoint_inhibition	Treg	T_reg_traffic	Neutrophil_signature	Granulocyte_traffic	MDSC	MDSC_traffic	Macrophages	Macrophage_DC_traffic	Th2_signature	Protumor_cytokines	CAF	Matrix	Matrix_remodeling	Angiogenesis	Endothelium	Proliferation_rate	EMT_signature
NSCLC378	-0.6000754423986873	0.6358414965551441	0.9508903317729777	0.3797775142358444	0.26317519887957475	0.5413212417807455	0.5682871152383828	-0.0967577769006383	0.46059819413397746	1.0143938340660157	0.6296976021890901	1.0839114244866026	0.8878862770817232	-0.5146619053390535	0.9381064920144192	1.3817149839755412	0.6086295754979186	1.3162356032347104	0.5479713314523258	0.4042862947436884	0.08675520145913367	0.006439585276615697	0.3203758676658159	0.16690262687131227	1.811324289186172	0.6086256499192755	1.0078198726475944	-0.8542241105649605	-0.21139773927100242
NSCLC1104	-3.5092077673345594	-2.0252732559686173	-1.571744253151922	-2.2269983683940078	-1.5128298294528741	-1.2784915365917593	-2.1825469891456653	-0.847953516993003	-1.3063681405492695	-1.9708369200230862	-0.5638737056117273	-1.2975155993407514	-1.0038201603267285	-1.9054477390310454	-0.7651261629177848	-2.404891627813715	-3.028928402304533	-1.8790920105276614	-1.8464749745284095	-2.4562264304200268	-1.5558752041033457	-1.057097723577591	-0.5480600734654318	-0.4712674287591246	-1.1190514108046583	-0.9648568679991595	0.6826362185230689	0.0067872007474337305	-0.31319446866770506
NSCLC947	1.723887622291545	1.1889212276563144	0.8667553763934405	1.5259563802350078	0.5910376598771911	1.667859175730629	2.3794420846239426	0.9444926729447679	-0.9739123903351384	2.8912235041762417	1.0120825275284044	2.5474325013190158	1.8677448951178695	-1.2499658569336118	-0.7222217602848139	-1.4118706016174627	0.47431470336469905	0.24289851574613844	1.3477011753487484	0.9496148736088614	1.1625839879921882	0.5713229961321736	0.6463021437006118	-1.158276611645133	-0.7897035601578324	-0.9906754693307535	0.5421323979750124	-0.2901869040021816	0.614931702148073
NSCLC990	-2.0370990815837775	-4.0	-1.7177691911322963	-2.2007472061391447	-3.321539686101851	-1.592753405797586	-0.9625340128154224	-0.5183394745943848	-1.1669780566717272	-0.8403735131279679	-4.0	-0.9851312575493504	-0.6216874685547659	-2.003208936126639	-0.7671431517168252	-1.5304213426795024	-1.9457866830720822	-1.4214383528876344	-1.2515213692183975	-1.4404479966986816	-0.7154059335864235	-1.025752041115859	-0.45416888853209675	-1.7726303227830305	-1.1743009708177987	-1.0817007165212622	-0.8216634852729235	1.8732759895488436	2.763335356349148
NSCLC1203	0.01284189716461493	0.7498905639539885	-0.764203315182735	-1.5182179149265598	-1.4704299268528613	-0.7950116317146377	-1.5650785241619467	-0.8510055734745553	-0.10300543693212276	0.39714161917118074	0.01865491164620996	-0.36304341443699567	-1.7432263755157016	-1.4262929859629552	-0.07136070159735601	-0.35022297064834224	0.24135644734004494	-0.42586119815937395	0.0	-1.0790373103737896	-0.31368731671976224	-2.0915506200566143	-0.9584539507301503	-0.6866207905268094	-1.3451366963890692	-1.6728322777566558	-0.11634645948087062	-0.9206702825661325	-1.455464154178256
NSCLC1327	-0.1711120170891397	0.5461209955652656	0.9600552688212403	0.9254210837338269	0.5706612295982527	1.3964858053906017	0.7560342956220976	0.06319241752476366	1.5612312728571254	0.4751381247567125	1.1439095086559137	0.8663418183203738	0.8108536981198794	0.9663812120692138	1.8181390368483397	1.434981424413112	0.0	1.8193873375213307	0.5498967347178932	0.5631511206802919	0.2852814751657433	-0.21024967461090593	-2.4383130388500684	-2.849343831770086	-0.9064940917630807	-1.4088199131956594	-2.0310983275665584	-0.6698076008415516	-0.8876951335018544
NSCLC1401	0.7392361811699926	0.14524180296289343	0.7668349162723459	0.4084595241877556	-0.9676718137261061	-0.16697506885799934	2.472739874767448	3.759136262574428	-1.5895664631189093	1.1914228084653424	-1.6710444389786174	1.701641430158919	2.553167670750701	1.8676139583267597	-0.10724671157156326	-2.099050044191897	-0.8531183994627092	-0.14285512923643603	-0.34710562179745746	-0.7595439611454256	1.3322176145782265	0.1904797442887576	0.02031591498035998	0.4347500461266098	-0.0178620381995305	0.2938977512578547	1.7351912348910599	1.272068044604081	0.08100769107571797
NSCLC1155	0.0	-0.935168440555502	-0.26490886857502693	0.6625665303529836	-0.10395833074882661	1.4987881969105679	0.31498085125148245	0.34147742568534156	0.26976779715412735	-0.5251670325432526	-0.19283258744050516	0.594286635905516	0.0	-0.041467442309538256	1.9141756088167243	0.6624417492172961	-0.9072083656605514	0.7537492677139259	-1.2056766736515165	-0.35661607479961605	-1.5041065073621918	-0.10809861568211124	-0.191192479550197	-1.3092924079773893	-0.27168845378365014	-0.8510458820393809	-0.48533759975341223	-0.338072705950867	-0.38472993553510787
NSCLC573	0.7344375044192667	0.9740383724494115	-0.12185205601251202	0.5789279852208674	0.9697730327822982	1.316444740920868	1.442015545924582	0.4268630912398916	-0.09367325847208738	1.6097599399582312	-0.41181131019212075	1.1729959442576368	1.3682795588658407	-1.9216116764774787	0.567913241276683	0.3915617767083514	1.577420452470447	1.010384457879435	0.6500850529580661	-0.2379260687891836	1.529120155679357	1.404832379072104	0.19463423506718827	0.041893819004059044	0.0	0.5996626151771505	0.5220742345558064	0.0	0.9060694056923324
NSCLC825	-1.4221714732185353	0.03872699286646581	-1.6049360163569235	-1.9085196657663501	-1.8185451535896886	-1.6814169695913974	-1.6040790663504148	-1.1573425567487592	-1.8883184170920868	-1.0058705435960977	-0.7581330053147277	-1.7579177609671113	-1.146298437386755	0.23527061391682244	0.0020858732281026633	-1.5204941568718064	-3.1277547695688948	-1.9788217930220753	-2.4274332363566677	-1.2579841076211142	-0.13952696420946814	-1.7123943100814796	-1.0328069594405085	-1.5446168284911042	-0.8327724441513759	-0.9225501250539585	0.0	0.9047096788544	-1.5937203398862039
